发达,fa1 da2,developed (country etc)
理论,li3 lun4,theory
类似,lei4 si4,similar
猜测,cai1 ce4,to guess
起源,qi3 yuan2,origin
适当,shi4 dang4,suitable
氧气,yang3 qi4,oxygen
提供,ti2 gong1,to offer
能源,neng2 yuan2,energy
昼夜,zhou4 ye4,day and night
神秘,shen2 mi4,mysterious
观测,guan1 ce4,to observe
拍摄,pai1 she4,to film
斑点,ban1 dian3,spot
枯萎,ku1 wei3,to wilt
干燥,gan1 zao4,to dry (of weather- paint- cement etc)
沙漠,sha1 mo4,desert
磁场,ci2 chang3,magnetic field
因素,yin1 su4,element
考察,kao3 cha2,to inspect
培养,pei2 yang3,to cultivate